id;nom;prenom;email1;email2;email3
542;Dupont;Emma;emma.dupont@example.com;;
543;Martin;Lucas;lucas.martin@example.com;;
544;Dubois;Léa;;lea.dubois@example.com;
546;Bernard;Hugo;hugo.bernard@example.com;;
547;Thomas;Jade;jade.thomas@example.com;;
548;Robert;Gabriel;gabriel.robert@example.com;;
549;Richard;Manon;manon.richard@example.com;;
550;Petit;Raphaël;;;raphael.petit@example.com
551;Durand;Clara;clara.durand@example.com;;
552;Leroy;Alexandre;alexandre.leroy@example.com;;
553;Garcia;Chloé;chloe.garcia@example.com;;
554;Moreau;Noah;noah.moreau@example.com;;
555;Lefebvre;Alice;;;alice.lefebvre@example.com
556;Simon;Théo;theo.simon@example.com;;
557;Laurent;Inès;;;ines.laurent@example.com
558;Michel;Louis;louis.michel@example.com;;
559;Girard;Léna;;lena.girard@example.com;
560;Lopez;Romain;romain.lopez@example.com;;
561;Faure;Manon;manon.faure@example.com;;
562;Mercier;Gabriel;;gabriel.mercier@example.com;
563;Roux;Lucie;lucie.roux@example.com;;
564;Fournier;Arthur;arthur.fournier@example.com;;
565;Chevalier;Léa;lea.chevalier@example.com;;
566;Dumas;Enzo;enzo.dumas@example.com;;
567;Garnier;Alice;;alice.garnier@example.com;
